"MLI Score","Property Normalizing temperature","Uncertainty in Property Normalizing temperature","Property Through hardening temperature","Uncertainty in Property Through hardening temperature","Property Through hardening time","Uncertainty in Property Through hardening time","formula","Property Fatigue strength","Uncertainty in Property Fatigue strength"
"37","845.0577770693416","0.0","845.0","0.0","30.0","0.0","Al$_{98.31}$C$_{0.45}$Si$_{0.25}$P$_{0.02}$S$_{0.02}$Cr$_{0.13}$Mn$_{0.79}$Ni$_{0.02}$Cu$_{0.02}$","470.0","110.0"
"36","865.1941402962797","0.0","852.1453680399909","0.0","28.98007318404047","0.0","Al$_{97.49}$C$_{0.35}$Si$_{0.98}$Cr$_{0.47}$Mn$_{0.53}$Ni$_{0.15}$Cu$_{0.04}$","460.0","140.0"
"28","864.6398049358282","0.0","862.1421232075874","0.0","29.853137810739735","0.0","Si.258800646C.338431537P.000100027Cu.009953886Mn.736586992Al98.186621804Cr.469505109","420.0","150.0"
"22","864.697076153111","0.0","869.1561438627582","0.0","29.87066041630812","0.0","Si.379554559C.405267703P.015986365Cu.009991531Mn.781677952Al98.407421975S.000099915","420.0","120.0"
"22","884.9499321601393","0.0","30.0","0.0","0.06354962996633626","0.0","Al$_{98.74}$C$_{0.45}$Si$_{0.21}$P$_{0.02}$Cr$_{0.02}$Mn$_{0.51}$Ni$_{0.04}$Cu$_{0.01}$","360.0","200.0"
"18","865.2693126157625","0.0","854.5936151471","0.0","29.70762658308109","0.0","Al$_{98.23}$C$_{0.36}$Si$_{0.26}$P$_{0.01}$S$_{0.62}$Cr$_{0.05}$Mn$_{0.39}$Cu$_{0.07}$","360.0","170.0"
"14","865.0","0.0","865.0","0.0","30.0","0.0","Al$_{98.42}$C$_{0.33}$Si$_{0.26}$P$_{0.02}$Cr$_{0.18}$Mn$_{0.75}$Ni$_{0.01}$Cu$_{0.03}$","410.0","94.0"
"13","865.1397985569952","0.0","860.791816813738","0.0","30.025492136239055","0.0","Al$_{98.52}$C$_{0.09}$Si$_{0.25}$P$_{0.04}$S$_{0.22}$Cr$_{0.01}$Mn$_{0.82}$Ni$_{0.03}$Cu$_{0.01}$","330.0","160.0"
"13","865.0","0.0","866.8280705353485","0.0","30.021100770791637","0.0","Al$_{98.87}$C$_{0.32}$P$_{0.02}$S$_{0.01}$Cr$_{0.02}$Mn$_{0.73}$Cu$_{0.03}$","320.0","170.0"
"0","885.0","0.0","27.754061726482245","0.0","0.17302453425283998","0.0","C.284972Cu.0100223Mn.511136999Ni.000100012Al99.138649889Cr.0392351S.0158837","246.0","69.0"
